No.	TOKEN	NE-TAG	NE-EMB	ID	url_id	left	right	top	bottom	conf
# https://content.staatsbibliothek-berlin.de/zefys/SNP2436020X-19080922-0-2-0-0/left,top,width,height/full/0/default.jpg
0	2	O	O	-	0	662	680	346	371	-
0	Berliner	B-ORG	O	Q19724822|Q10185	0	1276	1387	343	370	0.6,0.12
0	Börſen⸗	I-ORG	O	Q19724822|Q10185	0	1406	1609	343	374	0.6,0.12
0	Zeitung	O	O	-	0	1406	1609	343	374	-
0	Nr	O	O	-	0	1628	1672	342	369	-
0	.	O	O	-	0	1628	1672	342	369	-
0		O	O	-	0	1690	1754	341	368	-
0	445	O	O	-	0	1690	1754	341	368	-
0	.	O	O	-	0	1690	1754	341	368	-
0		O	O	-	0	2291	2362	338	365	-
0	1908	O	O	-	0	2291	2362	338	365	-
0	nichtpreußziſchen	O	O	-	0	625	782	417	441	-
0	Orden	O	O	-	0	793	859	417	438	-
0	erteilt	O	O	-	0	872	950	416	441	-
0	,	O	O	-	0	872	950	416	441	-
0	und	O	O	-	0	951	982	417	438	-
0	zwar	O	O	-	0	992	1051	420	441	-
0	:	O	O	-	0	992	1051	420	441	-
0	des	O	O	-	0	1064	1097	417	438	-
0	goldenen	O	O	-	0	1105	1193	417	441	-
0	Sterns	O	O	-	0	627	698	444	464	-
0	zum	O	O	-	0	718	757	449	467	-
0	Großkreuz	O	O	-	0	777	879	443	466	-
0	des	O	O	-	0	905	938	442	462	-
0	Königlich	O	O	-	0	963	1057	442	466	-
0	Sächſiſchen	O	O	-	0	1083	1192	443	466	-
0	Albrechtgordens	O	O	-	0	627	798	468	491	-
0	:	O	O	-	0	627	798	468	491	-
0	dem	O	O	-	0	819	858	468	487	-
0	General	O	O	-	0	872	953	466	487	-
0	der	O	O	-	0	970	1000	467	488	-
0	Jufanterie	O	O	-	0	1021	1128	467	491	-
0	von	O	O	-	0	1150	1193	471	487	-
0	Brittwütz	B-PER	O	-	0	627	736	494	517	-
0	und	O	O	-	0	749	793	493	513	-
0	Gaffron	B-PER	O	Q61022	0	802	911	492	516	0.45
0	,	O	O	-	0	802	911	492	516	-
0	kommandierendem	O	O	-	0	921	1105	492	513	-
0	General	O	O	-	0	1113	1194	492	512	-
0	des	O	O	-	0	628	661	520	539	-
0	XVJl	O	O	-	0	686	734	519	539	-
0	.	O	O	-	0	686	734	519	539	-
0	nan	O	O	-	0	760	887	518	541	-
0	Armeekorps	O	O	-	0	760	887	518	541	-
0	;	O	O	-	0	760	887	518	541	-
0	des	O	O	-	0	912	947	517	538	-
