No.	TOKEN	NE-TAG	NE-EMB	ID	url_id	left	right	top	bottom	conf
# https://content.staatsbibliothek-berlin.de/zefys/SNP27058621-19371228-0-1-0-0/left,top,width,height/full/0/default.jpg
0	Möorgen⸗	O	O	-	0	338	715	219	259	-
0	Ausgabe	O	O	-	0	338	715	219	259	-
0	.	O	O	-	0	338	715	219	259	-
0	deutſches	B-ORG	O	-	0	214	411	268	330	-
0	Kachrichtenbürorn	I-ORG	O	-	0	420	846	266	327	-
0	.	O	O	-	0	216	846	340	350	-
0	—	O	O	-	0	216	846	340	350	-
0	⏑	O	O	-	0	216	846	340	350	-
0	⏑	O	O	-	0	216	846	340	350	-
0	—	O	O	-	0	216	846	340	350	-
0	—	O	O	-	0	216	846	340	350	-
0	—	O	O	-	0	216	846	340	350	-
0	—	O	O	-	0	216	846	340	350	-
0	—	O	O	-	0	216	846	340	350	-
0	—	O	O	-	0	216	846	340	350	-
0	—	O	O	-	0	216	846	340	350	-
0	⏑	O	O	-	0	216	846	340	350	-
0	—	O	O	-	0	216	846	340	350	-
0	—	O	O	-	0	216	846	340	350	-
0	—	O	O	-	0	216	846	340	350	-
0	—	O	O	-	0	216	846	340	350	-
0	—	O	O	-	0	216	846	340	350	-
0	—	O	O	-	0	216	846	340	350	-
0	—	O	O	-	0	216	846	340	350	-
0	—	O	O	-	0	216	846	340	350	-
0	—	O	O	-	0	216	846	340	350	-
0	—	O	O	-	0	216	846	340	350	-
0	⏑	O	O	-	0	216	846	340	350	-
0	Als	O	O	-	0	214	250	360	381	-
0	Manuſkript	O	O	-	0	264	369	360	380	-
0	gedruckt	O	O	-	0	383	460	359	379	-
0	,	O	O	-	0	383	460	359	379	-
0	Nachdruck	O	O	-	0	481	568	358	377	-
0	und	O	O	-	0	589	622	358	374	-
0	jede	O	O	-	0	637	672	357	377	-
0	Art	O	O	-	0	686	718	357	374	-
0	Verbreitung	O	O	-	0	733	847	357	377	-
0	ohne	O	O	-	0	275	319	380	399	-
0	Vereinbarung	O	O	-	0	328	458	381	400	-
0	unterſagt	O	O	-	0	470	563	380	399	-
0	.	O	O	-	0	470	563	380	399	-
0	nan	O	O	-	0	588	636	380	398	-
0	Ohne	O	O	-	0	588	636	380	398	-
0	alle	O	O	-	0	639	688	379	395	-
0	Gewähr	O	O	-	0	695	785	379	401	-
0	.	O	O	-	0	695	785	379	401	-
0	)	O	O	-	0	695	785	379	401	-
0	nan	O	O	-	0	243	338	416	456	-
0	Jahrg	O	O	-	0	243	338	416	456	-
0	.	O	O	-	0	243	338	416	456	-
0	nan	O	O	-	0	459	594	430	452	-
0	Berlin	B-LOC	O	Q64|Q56037	0	459	594	430	452	0.75,0.13
0	,	O	O	-	0	459	594	430	452	-
0	Nr	O	O	-	0	776	819	429	449	-
0	.	O	O	-	0	776	819	429	449	-
0		O	O	-	0	229	307	468	492	-
0	1937	O	O	-	0	229	307	468	492	-
0	Dienstag	O	O	-	0	373	502	468	493	-
0	,	O	O	-	0	373	502	468	493	-
0	28	O	O	-	0	517	562	467	488	-
0	.	O	O	-	0	517	562	467	488	-
0		O	O	-	0	573	702	467	492	-
0	Dezember	O	O	-	0	573	702	467	492	-
0	us	O	O	-	0	736	838	413	508	-
0	—	O	O	-	0	847	848	542	543	-
0	Von	O	O	-	0	210	253	548	567	-
0	Haſſell	O	O	-	0	267	334	548	571	-
0	beſucht	O	O	-	0	349	418	547	570	-
