No.	TOKEN	NE-TAG	NE-EMB	ID	url_id	left	right	top	bottom	conf
# http://content.staatsbibliothek-berlin.de/zefys/SNP9838247-18680219-0-1-0-0/left,top,width,height/full/0/default.jpg
0	aber	O	O	-	0	1469	1565	1682	1725	-
0	durch	O	O	-	0	1619	1732	1682	1736	-
0	8	O	O	-	0	285	484	292	366	-
0	.	O	O	-	0	285	484	292	366	-
0		O	O	-	0	1254	1256	261	263	-
0	1	O	O	-	0	1254	1256	261	263	-
0	Sechſter	O	O	-	0	1547	1745	417	469	-
0	Jahrgang	O	O	-	0	1758	2011	422	476	-
0	.	O	O	-	0	1758	2011	422	476	-
0	nan	O	O	-	0	976	1609	263	423	-
0	Provimzial	O	O	-	0	976	1609	263	423	-
0	-	O	O	-	0	1627	2571	285	436	-
0	Correſponden	O	O	-	0	1627	2571	285	436	-
0	;	O	O	-	0	1627	2571	285	436	-
0	19	O	O	-	0	2676	2788	340	401	-
0	.	O	O	-	0	2676	2788	340	401	-
0		O	O	-	0	2807	3049	340	416	-
0	Februar	O	O	-	0	2807	3049	340	416	-
0	1868	O	O	-	0	3093	3260	345	407	-
0	.	O	O	-	0	3093	3260	345	407	-
0	nan	O	O	-	0	463	575	541	586	-
0	Der	O	O	-	0	463	575	541	586	-
0	Provinzialfonds	B-ORG	O	-	0	604	1061	541	605	-
0	im	O	O	-	0	1098	1166	550	593	-
0	Herrenhauſe	O	O	-	0	1201	1566	552	606	-
0	.	O	O	-	0	1201	1566	552	606	-
0	d	O	O	-	0	646	657	607	623	-
0	Das	O	O	-	0	338	460	626	668	-
0	Herrenbaus	O	O	-	0	464	790	624	680	-
0	hat	O	O	-	0	828	904	625	682	-
0	die	O	O	-	0	948	1006	631	675	-
0	Zuverſicht	O	O	-	0	1045	1293	625	689	-
0	,	O	O	-	0	1045	1293	625	689	-
0	welche	O	O	-	0	1337	1475	637	690	-
0	jüngſt	O	O	-	0	1513	1648	639	695	-
0	an	O	O	-	0	1689	1744	653	685	-
0	dieſer	O	O	-	0	283	397	673	724	-
0	Stelle	O	O	-	0	425	556	676	720	-
0	ausgeſprochen	O	O	-	0	583	888	680	734	-
0	wurde	O	O	-	0	907	1071	683	737	-
0	,	O	O	-	0	907	1071	683	737	-
0	gerechtfertigt	O	O	-	0	1090	1384	687	742	-
0	:	O	O	-	0	1090	1384	687	742	-
0	daſſelbe	O	O	-	0	1413	1577	690	744	-
0	hat	O	O	-	0	1598	1673	694	752	-
0	in	O	O	-	0	1700	1743	695	738	-
0	der	O	O	-	0	289	360	726	771	-
0	Angelegenheit	O	O	-	0	382	685	726	783	-
0	des	O	O	-	0	725	791	732	776	-
0	Hannoverſchen	O	O	-	0	831	1158	734	789	-
0	Provinzialfonds	O	O	-	0	1185	1555	739	794	-
0	die	O	O	-	0	1583	1642	745	788	-
0	Ge	O	O	-	0	1670	1744	745	790	-
0	—	O	O	-	0	1670	1744	745	790	-
0	ſichtspunkte	O	O	-	0	288	549	778	828	-
0	einer	O	O	-	0	572	676	783	826	-
0	großen	O	O	-	0	704	847	784	838	-
0	patriotiſchen	O	O	-	0	875	1144	787	838	-
0	Politik	O	O	-	0	1165	1316	791	844	-
0	über	O	O	-	0	1342	1441	793	838	-
0	alle	O	O	-	0	1468	1545	795	840	-
0	anderen	O	O	-	0	1572	1741	796	842	-
0	Rückſichten	O	O	-	0	292	535	831	883	-
0	und	O	O	-	0	562	647	836	878	-
0	Neigungen	O	O	-	0	675	916	835	891	-
0	geſtellt	O	O	-	0	958	1104	838	894	-
0	und	O	O	-	0	1142	1228	845	887	-
0	der	O	O	-	0	1269	1335	846	888	-
0	Staatsregierung	O	O	-	0	1374	1742	847	904	-
0	ſeine	O	O	-	0	283	383	883	930	-
0	bereitwillige	O	O	-	0	412	679	884	940	-
0	und	O	O	-	0	719	802	889	932	-
0	volle	O	O	-	0	846	948	890	935	-
0	Unterſtützung	O	O	-	0	962	1284	891	949	-
0	zur	O	O	-	0	1324	1395	908	950	-
0	Durchführung	O	O	-	0	1423	1741	901	956	-
0	ihrer	O	O	-	0	282	388	933	991	-
0	Abſichten	O	O	-	0	414	614	935	988	-
0	für	O	O	-	0	642	722	939	993	-
0	die	O	O	-	0	740	797	941	985	-
0	neue	O	O	-	0	823	922	953	985	-
0	Provinz	O	O	-	0	949	1134	943	999	-
0	gewährt	O	O	-	0	1162	1349	949	1001	-
0	.	O	O	-	0	1162	1349	949	1001	-
0	nan	O	O	-	0	390	634	988	1042	-
0	Zahlreicher	O	O	-	0	390	634	988	1042	-
0	als	O	O	-	0	664	729	993	1036	-
0	gewöhnlich	O	O	-	0	758	992	994	1048	-
0	waren	O	O	-	0	1021	1143	1005	1041	-
0	die	O	O	-	0	1145	1233	1000	1043	-
0	Mitglieder	O	O	-	0	1245	1477	994	1055	-
0	des	O	O	-	0	1500	1566	1005	1048	-
0	Hauſes	O	O	-	0	1583	1741	1005	1056	-
0	baben	O	O	-	0	282	409	1142	1193	-
0	ſich	O	O	-	0	440	506	1144	1195	-
0	dagegen	O	O	-	0	536	706	1146	1202	-
0	erklärt	O	O	-	0	735	877	1150	1194	-
0	und	O	O	-	0	915	1000	1157	1196	-
0	auch	O	O	-	0	1042	1136	1154	1204	-
0	dieſe	O	O	-	0	1180	1271	1156	1207	-
0	nicht	O	O	-	0	1281	1413	1156	1209	-
0	gegen	O	O	-	0	1440	1558	1171	1214	-
0	die	O	O	-	0	1596	1654	1160	1205	-
0	be⸗	O	O	-	0	1682	1738	1162	1207	-
0	Die	O	O	-	0	387	465	1299	1344	-
0	Frage	O	O	-	0	492	639	1302	1358	-
0	,	O	O	-	0	492	639	1302	1358	-
0	welche	O	O	-	0	668	798	1305	1357	-
0	die	O	O	-	0	827	885	1306	1350	-
0	politiſchen	O	O	-	0	910	1129	1307	1360	-
0	Kreiſe	O	O	-	0	1157	1284	1311	1362	-
0	unerwarteter	O	O	-	0	1309	1599	1316	1360	-
0	Weiſe	O	O	-	0	1612	1736	1317	1365	-
0	7	O	O	-	0	1432	1438	1289	1294	-
0	ſo	O	O	-	0	281	321	1349	1399	-
0	lebhaft	O	O	-	0	350	498	1351	1405	-
0	erregt	O	O	-	0	532	655	1357	1408	-
0	hatte	O	O	-	0	695	810	1357	1410	-
0	,	O	O	-	0	695	810	1357	1410	-
0	iſt	O	O	-	0	850	897	1359	1413	-
0	ſomit	O	O	-	0	938	1057	1360	1409	-
0	unter	O	O	-	0	1082	1202	1364	1407	-
0	Uebereinſtimmung	O	O	-	0	1228	1616	1365	1420	-
0	der	O	O	-	0	1621	1735	1370	1420	-
0	Regierung	O	O	-	0	279	512	1402	1457	-
0	und	O	O	-	0	534	590	1417	1449	-
0	der	O	O	-	0	596	711	1407	1452	-
0	beiden	O	O	-	0	738	868	1410	1453	-
0	Hauſer	O	O	-	0	874	1041	1410	1463	-
0	des	O	O	-	0	1062	1126	1413	1457	-
0	Landtags	O	O	-	0	1144	1326	1415	1471	-
0	zu	O	O	-	0	1331	1405	1418	1472	-
0	einer	O	O	-	0	1407	1520	1418	1463	-
0	befriedi	O	O	-	0	1522	1734	1421	1472	-
0	—	O	O	-	0	1522	1734	1421	1472	-
0	lenden	O	O	-	0	279	428	1461	1507	-
0	Löſung	O	O	-	0	442	574	1454	1504	-
0	geführt	O	O	-	0	579	794	1460	1514	-
0	:	O	O	-	0	579	794	1460	1514	-
0	für	O	O	-	0	810	877	1462	1515	-
0	die	O	O	-	0	898	954	1464	1507	-
0	provinziellen	O	O	-	0	966	1249	1466	1518	-
0	Bedürfniſſe	O	O	-	0	1259	1510	1469	1525	-
0	von	O	O	-	0	1525	1609	1480	1517	-
0	Han	B-LOC	O	-	0	1624	1734	1473	1525	-
0	—	B-LOC	O	-	0	1624	1734	1473	1525	-
0	nover	I-LOC	O	-	0	278	418	1513	1555	-
0	,	O	O	-	0	278	418	1513	1555	-
0	inſoweit	O	O	-	0	444	624	1508	1560	-
0	dieſelben	O	O	-	0	651	832	1512	1563	-
0	früher	O	O	-	0	861	995	1515	1567	-
0	aus	O	O	-	0	1023	1104	1520	1561	-
0	allgemeinen	O	O	-	0	1132	1394	1520	1573	-
0	Staatsmitteln	O	O	-	0	1417	1733	1525	1570	-
0	befriedigt	O	O	-	0	281	484	1558	1614	-
0	wurden	O	O	-	0	511	693	1564	1614	-
0	,	O	O	-	0	511	693	1564	1614	-
0	iſt	O	O	-	0	719	766	1565	1618	-
0	auch	O	O	-	0	794	888	1569	1619	-
0	jetzt	O	O	-	0	914	992	1569	1621	-
0	von	O	O	-	0	1019	1101	1576	1613	-
0	Staatswegen	O	O	-	0	1130	1421	1572	1627	-
0	Vorſorge	O	O	-	0	1450	1628	1575	1631	-
0	ge	O	O	-	0	1632	1732	1589	1631	-
0	—	O	O	-	0	1632	1732	1589	1631	-
0	troffen	O	O	-	0	280	453	1610	1665	-
0	,	O	O	-	0	280	453	1610	1665	-
0	zwar	O	O	-	0	478	588	1622	1667	-
0	nicht	O	O	-	0	628	742	1616	1676	-
0	,	O	O	-	0	628	742	1616	1676	-
0	wie	O	O	-	0	791	864	1618	1662	-
0	urſprünglich	O	O	-	0	903	1177	1621	1675	-
0	beantragt	O	O	-	0	1220	1433	1626	1680	-
0	war	O	O	-	0	1471	1576	1638	1681	-
0	,	O	O	-	0	1471	1576	1638	1681	-
0	durch	O	O	-	0	1620	1732	1631	1681	-
0	Atsſonderung	O	O	-	0	277	597	1663	1722	-
0	eines	O	O	-	0	651	756	1670	1712	-
0	eigenthümlichen	O	O	-	0	807	1152	1671	1730	-
0	Kapitals	O	O	-	0	1198	1417	1678	1730	-
0	,	O	O	-	0	1198	1417	1678	1730	-
