No.	TOKEN	NE-TAG	NE-EMB	GND-ID	url_id	left	right	top	bottom
# http://content.staatsbibliothek-berlin.de/zefys/SNP2436020X-18790811-0-8-0-0/left,top,width,height/full/0/default.jpg
0	das	O	O	-	0	462	498	1099	1121
0	gleichzeitig	O	O	-	0	526	653	1099	1124
0	hier	O	O	-	0	679	722	1100	1121
0	verbreitete	O	O	-	0	749	872	1101	1123
0	Gerücht	O	O	-	0	899	990	1101	1123
0	von	O	O	-	0	1021	1062	1109	1123
0	dem	O	O	-	0	1094	1140	1103	1125
0	angeblich	O	O	-	0	1174	1281	1105	1129
0	beab	O	O	-	0	1315	1375	1106	1127
0	-	O	O	-	0	1315	1375	1106	1127
0	sichtigten	O	O	-	0	460	571	1127	1148
0	Rücktritt	O	O	-	0	598	701	1127	1147
0	des	O	O	-	0	727	764	1126	1148
0	Grafen	B-PER	O	-	0	790	866	1127	1149
0	Andrassy	I-PER	O	-	0	892	999	1129	1155
0	liessen	O	O	-	0	1026	1102	1129	1151
0	die	O	O	-	0	1135	1169	1130	1152
0	hıutige	O	O	-	0	1202	1284	1132	1158
0	Börse	O	O	-	0	1312	1375	1133	1154
0	in	O	O	-	0	461	482	1154	1174
0	wenig	O	O	-	0	510	576	1154	1177
0	freundlicher	O	O	-	0	602	738	1154	1174
0	Stimmung	O	O	-	0	758	875	1153	1180
0	eröffnen	O	O	-	0	901	997	1155	1177
0	.	O	O	-	0	901	997	1155	1177
0		O	O	-	0	1036	1075	1156	1178
0	Die	O	O	-	0	1036	1075	1156	1178
0	internationalen	O	O	-	0	1101	1273	1156	1180
0	Specu	O	O	-	0	1300	1375	1159	1185
0	-	O	O	-	0	1300	1375	1159	1185
0	lationspapiere	O	O	-	0	459	625	1179	1207
0	,	O	O	-	0	459	625	1179	1207
0	denen	O	O	-	0	646	711	1180	1200
0	man	O	O	-	0	732	780	1187	1201
0	in	O	O	-	0	799	822	1181	1202
0	den	O	O	-	0	841	881	1181	1202
0	letzten	O	O	-	0	901	977	1181	1203
0	Tagen	O	O	-	0	998	1065	1183	1209
