No.	TOKEN	NE-TAG	NE-EMB	ID	url_id	left	right	top	bottom
# https://content.staatsbibliothek-berlin.de/zefys/SNP25128437-18820923-0-2-0-0/left,top,width,height/full/0/default.jpg
0	—	O	O	-	0	165	174	138	147
0	—	O	O	-	0	201	202	141	144
0	U	O	O	-	0	206	208	147	149
0	u	O	O	-	0	193	199	149	151
0	annahen	O	O	-	0	159	320	149	194
0	und	O	O	-	0	329	398	143	183
0	ein	O	O	-	0	405	474	147	182
0	Bremſer	O	O	-	0	493	639	149	188
0	,	O	O	-	0	493	639	149	188
0	die	O	O	-	0	654	706	143	182
0	Gefahr	O	O	-	0	725	833	149	190
0	erkennend	O	O	-	0	857	1017	149	187
0	,	O	O	-	0	857	1017	149	187
0	verſuchte	O	O	-	0	1034	1174	148	189
0	das	O	O	-	0	168	232	190	222
0	grimmige	O	O	-	0	252	393	190	230
0	Thier	O	O	-	0	410	497	189	229
0	hinabzutreiben	O	O	-	0	505	751	189	230
0	,	O	O	-	0	505	751	189	230
0	aber	O	O	-	0	771	846	190	227
0	,	O	O	-	0	771	846	190	227
0	ehe	O	O	-	0	867	913	190	229
0	er	O	O	-	0	935	963	199	222
0	ſich	O	O	-	0	984	1058	188	229
0	'	O	O	-	0	984	1058	188	229
0	s	O	O	-	0	984	1058	188	229
0	verſah	O	O	-	0	1069	1174	190	230
0	,	O	O	-	0	1069	1174	190	230
0	hatte	O	O	-	0	160	253	225	269
0	auch	O	O	-	0	272	336	229	269
0	ihn	O	O	-	0	357	407	229	269
0	der	O	O	-	0	427	475	230	262
0	Stier	O	O	-	0	495	590	229	262
0	auf	O	O	-	0	599	650	229	268
0	ſeine	O	O	-	0	668	752	229	269
0	Hörner	O	O	-	0	758	869	230	269
0	genommen	O	O	-	0	888	1052	238	269
0	und	O	O	-	0	1071	1112	238	261
0	in	O	O	-	0	1113	1173	229	262
0	raſendem	O	O	-	0	165	315	269	307
0	Galopp	O	O	-	0	330	445	268	308
0	ſtürmte	O	O	-	0	467	578	269	307
0	er	O	O	-	0	599	627	278	301
0	mit	O	O	-	0	647	700	269	301
0	ſeinem	O	O	-	0	720	820	268	306
0	Opfer	O	O	-	0	833	923	268	308
0	auf	O	O	-	0	937	986	268	307
0	dem	O	O	-	0	999	1062	274	302
0	Bahn⸗	O	O	-	0	1076	1174	269	308
0	geleiſe	O	O	-	0	174	268	309	348
0	dahin	O	O	-	0	288	382	309	347
0	.	O	O	-	0	288	382	309	347
0		O	O	-	0	424	486	308	343
0	Mit	O	O	-	0	424	486	308	343
0	ſeltener	O	O	-	0	519	634	309	347
0	Geiſtesgegenwart	O	O	-	0	663	933	309	349
0	hielt	O	O	-	0	962	1030	308	349
0	ſich	O	O	-	0	1056	1105	309	349
0	der	O	O	-	0	1125	1174	310	342
0	Bremſer	O	O	-	0	175	305	342	388
0	an	O	O	-	0	324	361	358	380
0	den	O	O	-	0	382	435	349	381
0	Hörnern	O	O	-	0	456	584	349	388
0	feſt	O	O	-	0	605	664	348	388
0	,	O	O	-	0	605	664	348	388
0	um	O	O	-	0	684	732	358	381
0	im	O	O	-	0	754	791	349	382
0	günſtigen	O	O	-	0	813	954	350	389
0	Moment	O	O	-	0	977	1111	349	382
0	ſich	O	O	-	0	1125	1172	350	394
0	durch	O	O	-	0	160	254	389	428
0	einen	O	O	-	0	275	355	389	420
0	waghalſigen	O	O	-	0	375	561	388	428
0	Sprung	O	O	-	0	576	700	388	428
0	aus	O	O	-	0	720	756	399	421
0	der	O	O	-	0	758	828	390	421
0	peinlichen	O	O	-	0	830	1002	389	428
0	Situation	O	O	-	0	1017	1173	388	422
0	zu	O	O	-	0	171	204	438	469
0	retten	O	O	-	0	223	323	432	461
0	.	O	O	-	0	223	323	432	461
0		O	O	-	0	364	394	428	461
0	So	O	O	-	0	364	394	428	461
0	gefahrvoll	O	O	-	0	397	584	428	468
0	die	O	O	-	0	605	648	428	460
0	Lage	O	O	-	0	660	742	428	467
0	,	O	O	-	0	660	742	428	467
0	in	O	O	-	0	762	792	429	460
0	welcher	O	O	-	0	812	926	429	468
0	er	O	O	-	0	944	974	439	461
0	ſich	O	O	-	0	994	1040	429	468
0	befand	O	O	-	0	1063	1172	429	467
0	,	O	O	-	0	1063	1172	429	467
0	auch	O	O	-	0	174	238	469	513
0	geweſen	O	O	-	0	258	388	468	509
0	,	O	O	-	0	258	388	468	509
0	ſo	O	O	-	0	410	435	468	507
0	kam	O	O	-	0	457	517	469	500
0	er	O	O	-	0	537	565	478	500
0	doch	O	O	-	0	586	647	468	506
0	glücklich	O	O	-	0	668	787	468	509
0	davon	O	O	-	0	815	920	469	505
0	,	O	O	-	0	815	920	469	505
0	abgeſehen	O	O	-	0	946	1092	468	510
0	von	O	O	-	0	1117	1171	478	501
0	einigen	O	O	-	0	174	280	517	547
0	unvermeidlichen	O	O	-	0	302	547	508	546
0	Hautabſchürfungen	O	O	-	0	567	870	507	547
0	.	O	O	-	0	567	870	507	547
0		O	O	-	0	912	1061	508	546
0	Nunmehr	O	O	-	0	912	1061	508	546
0	wagte	O	O	-	0	1082	1170	513	547
0	ſich	O	O	-	0	170	242	547	585
0	Niemand	O	O	-	0	241	379	547	579
0	mehr	O	O	-	0	393	469	548	586
0	an	O	O	-	0	487	524	557	579
0	das	O	O	-	0	545	598	549	579
0	grimmige	O	O	-	0	612	755	548	587
0	Thier	O	O	-	0	767	854	549	587
0	heran	O	O	-	0	865	950	550	587
0	und	O	O	-	0	972	1028	549	580
