No.	TOKEN	NE-TAG	NE-EMB	GND-ID	url_id	left	right	top	bottom
# http://content.staatsbibliothek-berlin.de/zefys/SNP25128437-18960311-0-1-0-0/left,top,width,height/full/0/default.jpg
0	Redaction	O	O	-	0	221	407	120	164
0	um	O	O	-	0	429	499	117	156
0	Erpedition	O	O	-	0	525	729	114	162
0	beſinden	O	O	-	0	756	912	115	162
0	ſch	O	O	-	0	939	1013	115	160
0	:	O	O	-	0	939	1013	115	160
0	Serlin	B-PER	O	-	0	1041	1212	115	156
0	V	I-PER	O	-	0	1233	1302	115	160
0	,	O	O	-	0	1233	1302	115	160
0	Lützowſtraßze	B-LOC	O	-	0	1325	1646	114	161
0	S7	O	O	-	0	1670	1755	113	170
0	,	O	O	-	0	1670	1755	113	170
0	Au	O	O	-	0	1772	1836	113	170
0	Hans	B-PER	O	-	0	1839	1954	113	170
0	von	I-PER	O	-	0	1955	2054	116	170
0	der	I-PER	O	-	0	2080	2142	114	152
0	Botsdamerſtrate	O	O	-	0	2165	2495	114	160
0	,	O	O	-	0	2165	2495	114	160
0	gegenüber	O	O	-	0	2518	2710	114	161
0	Lem	B-PER	O	-	0	2732	2807	117	155
0	Aifabeth⸗	I-PER	O	-	0	2829	3281	117	166
0	Krautenhanſe	O	O	-	0	2829	3281	117	166
0	.	O	O	-	0	2829	3281	117	166
0		O	O	-	0	383	501	274	302
0	Eeicheim	O	O	-	0	383	501	274	302
0	tagich	O	O	-	0	516	600	272	302
0	mu	O	O	-	0	152	184	312	337
0	lugnabme	O	O	-	0	197	317	304	332
0	der	O	O	-	0	332	367	303	327
0	Tage	O	O	-	0	380	438	301	329
0	nach	O	O	-	0	443	501	301	329
0	den	O	O	-	0	516	557	300	324
0	Som⸗	O	O	-	0	570	645	301	325
0	ind	O	O	-	0	659	702	302	325
0	Feiettagen	O	O	-	0	715	846	300	329
0	.	O	O	-	0	715	846	300	329
0	btιέ˖	O	O	-	0	74	199	351	383
0	untsvrtιέ	O	O	-	0	203	341	339	367
0	fuͤr	O	O	-	0	355	389	338	365
0	das	O	O	-	0	404	445	338	361
0	Biertellabx	O	O	-	0	458	589	336	367
0	Mt	O	O	-	0	598	648	338	367
0	.	O	O	-	0	598	648	338	367
0	1	O	O	-	0	654	676	336	367
0	.	O	O	-	0	654	676	336	367
0	26	O	O	-	0	678	723	336	362
0	:	O	O	-	0	678	723	336	362
0	durch	O	O	-	0	740	798	337	363
0	Boflbole	O	O	-	0	809	924	336	365
0	nder	O	O	-	0	168	213	375	398
0	Zeltuna	O	O	-	0	225	313	368	398
0	teüger	O	O	-	0	314	398	367	394
0	in	O	O	-	0	411	454	365	389
0	'	O	O	-	0	411	454	365	389
0	Haus	O	O	-	0	468	534	365	393
0	gebracht	O	O	-	0	549	641	365	394
0	40	O	O	-	0	655	689	364	389
0	Bt	O	O	-	0	702	743	364	392
0	.	O	O	-	0	702	743	364	392
0	mehr	O	O	-	0	757	821	365	392
0	.	O	O	-	0	757	821	365	392
0	uiiuiiutuit	O	O	-	0	77	262	405	445
0	werden	O	O	-	0	282	363	402	426
0	von	O	O	-	0	383	426	405	424
0	fammuchen	O	O	-	0	447	585	401	429
0	Boftanftalken	O	O	-	0	600	758	400	428
0	.	O	O	-	0	600	758	400	428
0		O	O	-	0	776	923	399	428
0	Srieftradem	O	O	-	0	776	923	399	428
0	—	O	O	-	0	250	293	431	455
0	—	O	O	-	0	305	395	430	458
0	—	O	O	-	0	396	482	428	456
0	—	O	O	-	0	483	538	428	452
0	„	O	O	-	0	539	606	434	452
0	“	O	O	-	0	539	606	434	452
0	)	O	O	-	0	539	606	434	452
0	(	O	O	-	0	539	606	434	452
0	—	O	O	-	0	539	606	434	452
0	.	O	O	-	0	539	606	434	452
0		O	O	-	0	608	658	433	457
0	—	O	O	-	0	608	658	433	457
0	—	O	O	-	0	660	733	433	453
0	Juferate	O	O	-	0	2911	3052	278	306
0	und	O	O	-	0	2709	2752	360	384
0	unſeren	O	O	-	0	2766	2851	359	387
0	Agenten	O	O	-	0	2866	2959	360	389
0	im	O	O	-	0	2974	3003	361	384
0	Rreife	O	O	-	0	3017	3087	350	387
0	angenommen	O	O	-	0	3099	3256	366	389
0	Breis	O	O	-	0	2791	2874	396	422
0	der	O	O	-	0	2888	2925	398	420
0	emfachen	O	O	-	0	2939	3041	396	424
0	Betitzeile	O	O	-	0	3055	3164	397	426
0	dde	O	O	-	0	2569	2621	423	449
0	derrn	O	O	-	0	2635	2697	424	448
0	Nonm	O	O	-	0	2711	2782	423	448
0	im	O	O	-	0	2796	2824	424	447
0	Anzeigentheil	O	O	-	0	2839	2995	424	452
0	BBk	O	O	-	0	3009	3093	424	452
0	.	O	O	-	0	3009	3093	424	452
