No.	TOKEN	NE-TAG	NE-EMB	ID	url_id	left	right	top	bottom
# http://content.staatsbibliothek-berlin.de/zefys/SNP27112366-19030507-0-13-0-0/left,top,width,height/full/0/default.jpg
0	EEEJ	O	O	-	0	386	521	237	265
0	Dritte	O	O	-	0	726	883	241	287
0	Beilage	O	O	-	0	910	1104	247	300
0	zur	O	O	-	0	1129	1209	261	303
0	Voſſiſchen	B-ORG	O	Q2035483|Q2036053|Q1335266|Q1374057|Q1998825|Q2036133|Q2009835|Q1406963|Q2147518|Q2283016|Q2143135|Q1225989|Q2164678|Q1591581|Q697173|Q1228741|Q1483889	0	1238	1490	252	310
0	Zeitung	I-ORG	O	Q2035483|Q2036053|Q1335266|Q1374057|Q1998825|Q2036133|Q2009835|Q1406963|Q2147518|Q2283016|Q2143135|Q1225989|Q2164678|Q1591581|Q697173|Q1228741|Q1483889	0	1518	1726	258	316
0	.	O	O	-	0	1518	1726	258	316
0		O	O	-	0	1871	1872	283	284
0	U	O	O	-	0	1871	1872	283	284
0	Donnerſtag	O	O	-	0	298	461	269	303
0	.	O	O	-	0	298	461	269	303
0		O	O	-	0	481	612	271	304
0	(	O	O	-	0	481	612	271	304
0	Jtorgen	O	O	-	0	481	612	271	304
0	.	O	O	-	0	481	612	271	304
0	)	O	O	-	0	481	612	271	304
0	15	O	O	-	0	1950	2066	266	321
0	.	O	O	-	0	1950	2066	266	321
0	—	O	O	-	0	286	293	314	316
0	unm	O	O	-	0	286	293	314	316
0	um	O	O	-	0	286	485	305	317
0	munmum	O	O	-	0	297	485	305	317
0	erichtl	O	O	-	0	321	420	324	354
0	.	O	O	-	0	321	420	324	354
0		O	O	-	0	438	703	325	362
0	Bekanntmachunge	O	O	-	0	438	703	325	362
0	A	O	O	-	0	420	449	356	375
0	.	O	O	-	0	420	449	356	375
0	Bon	O	O	-	0	470	519	357	376
0	Berlin	B-LOC	O	Q183149|Q64|Q257867|Q1979838|Q664745|Q15708458|Q2021465|Q15676066|Q2322920|Q1725179|Q702517|Q2153462|Q1373178|Q15135208	0	531	612	358	377
0	.	O	O	-	0	531	612	358	377
0		O	O	-	0	389	631	382	403
0	Konkurtverfahren	O	O	-	0	389	631	382	403
0	.	O	O	-	0	389	631	382	403
0		O	O	-	0	304	327	402	421
0	Ju	O	O	-	0	304	327	402	421
0	dem	O	O	-	0	342	376	403	420
0	Kentursverfabren	O	O	-	0	388	547	405	423
0	urer	O	O	-	0	558	596	408	424
0	das	O	O	-	0	607	635	409	424
0	—	O	O	-	0	648	678	409	427
0	—	O	O	-	0	677	711	411	430
0	des	O	O	-	0	282	310	424	440
0	Kautmanns	O	O	-	0	328	431	424	443
0	Willibald	B-PER	O	-	0	453	537	425	443
0	Baruchfehn	I-PER	O	-	0	556	708	427	449
0	Mullerſtr	O	O	-	0	281	370	445	463
0	.	O	O	-	0	281	370	445	463
0	173	O	O	-	0	383	423	446	465
0	.	O	O	-	0	383	423	446	465
0	iſt	O	O	-	0	441	458	446	464
0	zur	O	O	-	0	474	501	451	466
0	Abnakme	O	O	-	0	518	599	449	467
0	der	O	O	-	0	616	642	452	468
0	von	O	O	-	0	659	689	456	469
0	Erken	O	O	-	0	282	336	466	482
0	des	O	O	-	0	353	380	467	482
0	rerſtorbenen	O	O	-	0	398	506	467	485
0	Verwalters	O	O	-	0	518	616	469	488
0	Roſenb	B-PER	O	Q1389085	0	628	712	473	493
0	—	B-PER	O	-	0	628	712	473	493
