No.	TOKEN	NE-TAG	NE-EMB	ID	url_id	left	right	top	bottom	conf
# http://content.staatsbibliothek-berlin.de/zefys/SNP11614109-18860622-0-1-0-0/left,top,width,height/full/0/default.jpg
0	Neueſte	O	O	-	0	369	1164	184	387	-
0	Mittheilungen	O	O	-	0	1320	2997	196	410	-
0	.	O	O	-	0	1320	2997	196	410	-
0	nan	O	O	-	0	1064	1498	436	507	-
0	Verantwortlicher	O	O	-	0	1064	1498	436	507	-
0	Herausgeber	O	O	-	0	1535	1880	446	518	-
0	:	O	O	-	0	1535	1880	446	518	-
0	Dr	O	O	-	0	1939	2008	449	508	-
0	.	O	O	-	0	1939	2008	449	508	-
0	H	B-PER	O	Q425394	0	2049	2115	451	520	0.19
0	.	O	O	-	0	2049	2115	451	520	-
0	Klee	I-PER	O	Q30134356|Q96459|Q44007	0	2154	2291	451	520	0.41,0.31,0.1
0	.	O	O	-	0	2154	2291	451	520	-
0	nan	O	O	-	0	220	305	589	648	-
0	V	O	O	-	0	220	305	589	648	-
0	.	O	O	-	0	220	305	589	648	-
0	Jahrgang	O	O	-	0	344	625	585	667	-
0	.	O	O	-	0	344	625	585	667	-
0	nan	O	O	-	0	1210	1412	601	662	-
0	Berlin	B-LOC	O	Q64|Q153006|Q152087	0	1210	1412	601	662	0.47,0.19,0.18
0	,	O	O	-	0	1210	1412	601	662	-
0	Dienſtag	O	O	-	0	1446	1651	608	670	-
0	,	O	O	-	0	1446	1651	608	670	-
0	den	O	O	-	0	1683	1759	612	658	-
0	22	O	O	-	0	1792	1863	617	659	-
0	.	O	O	-	0	1792	1863	617	659	-
0	Juni	O	O	-	0	1895	2005	614	669	-
0	1886	O	O	-	0	2042	2169	598	679	-
0	.	O	O	-	0	2042	2169	598	679	-
0	nan	O	O	-	0	2875	2964	630	691	-
0	No	O	O	-	0	2875	2964	630	691	-
0	.	O	O	-	0	2875	2964	630	691	-
0		O	O	-	0	3004	3088	634	688	-
0	67	O	O	-	0	3004	3088	634	688	-
0	.	O	O	-	0	3004	3088	634	688	-
0	nan	O	O	-	0	203	283	778	832	-
0	Die	O	O	-	0	203	283	778	832	-
0	Wiederaufnahme	O	O	-	0	314	746	770	844	-
0	der	O	O	-	0	785	863	780	834	-
0	parlamentariſchen	O	O	-	0	899	1352	771	852	-
0	Arbeiten	O	O	-	0	1387	1625	787	866	-
0	nan	O	O	-	0	300	381	871	915	-
0	Der	O	O	-	0	300	381	871	915	-
0	Reichstag	B-ORG	O	Q160208|Q29053853|Q272930|Q704408	0	401	603	870	924	0.41,0.12,0.11,0.11
0	nimmt	O	O	-	0	635	769	873	925	-
0	nach	O	O	-	0	790	876	876	924	-
0	längerer	O	O	-	0	908	1076	877	929	-
0	Pauſe	O	O	-	0	1097	1221	878	931	-
0	ſeine	O	O	-	0	1251	1344	883	931	-
0	Arbeiten	O	O	-	0	1365	1542	884	930	-
0	am	O	O	-	0	1570	1625	902	931	-
0	25	O	O	-	0	200	260	936	978	-
0	.	O	O	-	0	200	260	936	978	-
0	Juni	O	O	-	0	290	392	925	979	-
0	wieder	O	O	-	0	435	569	924	968	-
0	auf	O	O	-	0	606	696	928	980	-
0	;	O	O	-	0	606	696	928	980	-
0	das	O	O	-	0	741	813	931	971	-
0	Abgeordnetenhaus	O	O	-	0	843	1230	930	988	-
0	iſt	O	O	-	0	1266	1309	936	989	-
0	am	O	O	-	0	1344	1406	952	982	-
0	22	O	O	-	0	1434	1499	945	984	-
0	.	O	O	-	0	1434	1499	945	984	-
0	Juni	O	O	-	0	1528	1625	942	993	-
0	zur	O	O	-	0	165	237	1000	1044	-
0	Erledigung	O	O	-	0	238	500	979	1035	-
0	noch	O	O	-	0	529	616	983	1034	-
0	rückſtändiger	O	O	-	0	646	909	984	1039	-
0	Arbeiten	O	O	-	0	921	1099	985	1030	-
0	wie	O	O	-	0	1128	1198	989	1033	-
0	zur	O	O	-	0	1226	1291	1004	1046	-
0	Beſchlußfaſſung	O	O	-	0	1305	1625	991	1052	-
0	über	O	O	-	0	195	278	1042	1086	-
0	den	O	O	-	0	304	373	1037	1079	-
0	inzwiſchen	O	O	-	0	402	612	1035	1089	-
0	vorgelegten	O	O	-	0	641	877	1039	1093	-
0	Entwurf	O	O	-	0	892	1069	1040	1095	-
0	betreffs	O	O	-	0	1097	1248	1044	1098	-
0	der	O	O	-	0	1277	1339	1047	1089	-
0	Unterſtützung	O	O	-	0	1353	1625	1050	1107	-
0	der	O	O	-	0	195	251	1100	1141	-
0	durch	O	O	-	0	302	408	1090	1143	-
0	die	O	O	-	0	465	522	1091	1133	-
