No.	TOKEN	NE-TAG	NE-EMB	ID	url_id	left	right	top	bottom	conf
# http://content.staatsbibliothek-berlin.de/zefys/SNP2436020X-18790811-0-8-0-0/left,top,width,height/full/0/default.jpg
0	das	O	O	-	0.0	462.0	498.0	1099.0	1121.0	-
0	gleichzeitig	O	O	-	0.0	526.0	653.0	1099.0	1124.0	-
0	hier	O	O	-	0.0	679.0	722.0	1100.0	1121.0	-
0	verbreitete	O	O	-	0.0	749.0	872.0	1101.0	1123.0	-
0	Gerücht	O	O	-	0.0	899.0	990.0	1101.0	1123.0	-
0	von	O	O	-	0.0	1021.0	1062.0	1109.0	1123.0	-
0	dem	O	O	-	0.0	1094.0	1140.0	1103.0	1125.0	-
0	angeblich	O	O	-	0.0	1174.0	1281.0	1105.0	1129.0	-
0	beab	O	O	-	0.0	1315.0	1375.0	1106.0	1127.0	-
0	-	O	O	-	0.0	1315.0	1375.0	1106.0	1127.0	-
0	sichtigten	O	O	-	0.0	460.0	571.0	1127.0	1148.0	-
0	Rücktritt	O	O	-	0.0	598.0	701.0	1127.0	1147.0	-
0	des	O	O	-	0.0	727.0	764.0	1126.0	1148.0	-
0	Grafen	B-PER	O	Q313557|Q420845	0.0	790.0	866.0	1127.0	1149.0	0.51,0.26
0	Andrassy	I-PER	O	Q313557|Q420845	0.0	892.0	999.0	1129.0	1155.0	0.51,0.26
0	liessen	O	O	-	0.0	1026.0	1102.0	1129.0	1151.0	-
0	die	O	O	-	0.0	1135.0	1169.0	1130.0	1152.0	-
0	hıutige	O	O	-	0.0	1202.0	1284.0	1132.0	1158.0	-
0	Börse	O	O	-	0.0	1312.0	1375.0	1133.0	1154.0	-
0	in	O	O	-	0.0	461.0	482.0	1154.0	1174.0	-
0	wenig	O	O	-	0.0	510.0	576.0	1154.0	1177.0	-
0	freundlicher	O	O	-	0.0	602.0	738.0	1154.0	1174.0	-
0	Stimmung	O	O	-	0.0	758.0	875.0	1153.0	1180.0	-
0	eröffnen	O	O	-	0.0	901.0	997.0	1155.0	1177.0	-
0	.	O	O	-	0.0	901.0	997.0	1155.0	1177.0	-
