No.	TOKEN	NE-TAG	NE-EMB	ID	url_id	left	right	top	bottom
# https://content.staatsbibliothek-berlin.de/zefys/SNP2436020X-19080922-0-2-0-0/left,top,width,height/full/0/default.jpg
1	2	O	O	-	0	662	680	346	371
0		O	O		0	1276	1387	343	370
1	Berliner	B-ORG	O	Q15793174	0	1276	1387	343	370
2	Börſen⸗Zeitung	I-ORG	O	Q15793174	0	1406	1609	343	374
3	Nr.	O	O	-	0	1628	1672	342	369
4	445	O	O	-	0	1690	1754	341	368
5	.	O	O	-	0	1690	1754	341	368
0		O	O		0	2291	2362	338	365
1	1908	O	O	-	0	2291	2362	338	365
0		O	O		0	625	782	417	441
1	nichtpreußiſchen	O	O	-	0	625	782	417	441
2	Orden	O	O	-	0	793	859	417	438
3	erteilt	O	O	-	0	872	950	416	441
4	,	O	O	-	0	872	950	416	441
5	und	O	O	-	0	951	982	417	438
6	zwar	O	O	-	0	992	1051	420	441
7	:	O	O	-	0	992	1051	420	441
8	des	O	O	-	0	1064	1097	417	438
9	goldenen	O	O	-	0	1105	1193	417	441
10	Sterns	O	O	-	0	627	698	444	464
11	zum	O	O	-	0	718	757	449	467
12	Großkreuz	O	O	-	0	777	879	443	466
13	des	O	O	-	0	905	938	442	462
14	Königlich	O	O	-	0	963	1057	442	466
15	Sächſiſchen	O	O	-	0	1083	1192	443	466
16	Albrechtsordens	I-ORG	O	-	0	627	798	468	491
17	:	O	O	-	0	627	798	468	491
18	dem	O	O	-	0	819	858	468	487
19	General	O	O	-	0	872	953	466	487
20	der	O	O	-	0	970	1000	467	488
21	Jnfanterie	O	O	-	0	1021	1128	467	491
22	von	O	O	-	0	1150	1193	471	487
23	Prittwitz	B-PER	O	-	0	627	736	494	517
24	und	O	O	-	0	749	793	493	513
25	Gaffron	B-PER	O	Q61022	0	802	911	492	516
26	,	O	O	-	0	802	911	492	516
27	kommandierendem	O	O	-	0	921	1105	492	513
28	General	O	O	-	0	1113	1194	492	512
29	des	O	O	-	0	628	661	520	539
30	XVI.	O	O	-	0	686	734	519	539
31	Armeekorps	O	O	-	0	760	887	518	541
32	;	O	O	-	0	760	887	518	541
33	des	O	O	-	0	912	947	517	538
34	Komturkreuzes	O	O	-	0	972	1120	518	540
35	erſter	O	O	-	0	1142	1194	517	539
36	Klaſſe	O	O	-	0	627	686	543	567
37	desſelben	O	O	-	0	712	804	543	566
38	Ordens	O	O	-	0	831	918	543	563
39	:	O	O	-	0	831	918	543	563
40	dem	O	O	-	0	956	996	542	562
41	Generalleutnant	O	O	-	0	1029	1194	543	563
42	von	B-PER	O	Q1991584	0	629	672	573	589
43	Puttkamer	I-PER	O	Q1991584	0	685	824	568	591
44	,	O	O	-	0	685	824	568	591
45	Kommandanten	O	O	-	0	838	997	567	588
46	der	O	O	-	0	1010	1041	569	588
47	Feſtung	O	O	-	0	1054	1131	567	591
48	Metz	B-LOC	O	Q22690	0	1140	1194	567	590
49	;	O	O	-	0	1140	1194	567	590
50	des	O	O	-	0	629	662	595	614
51	Komturkreuzes	O	O	-	0	674	823	594	616
52	zweiter	O	O	-	0	837	905	593	616
53	Klaſſe	O	O	-	0	919	978	592	615
54	mit	O	O	-	0	992	1024	594	612
55	Schwertern	O	O	-	0	1038	1151	592	616
56	am	O	O	-	0	1165	1194	597	613
57	Ringe	O	O	-	0	629	688	619	642
58	desſelben	O	O	-	0	702	792	618	641
59	Ordens	O	O	-	0	799	885	618	639
60	:	O	O	-	0	799	885	618	639
61	dem	O	O	-	0	898	939	618	638
62	Oberſten	O	O	-	0	949	1036	618	641
63	von	B-PER	O	Q102267	0	1049	1090	621	637
64	Falkenhayn	I-PER	O	Q102267	0	1100	1195	617	641
65	,	O	O	-	0	629	696	644	667
