No.	TOKEN	NE-TAG	NE-EMB	GND-ID	url_id	left	right	top	bottom
# http://content.staatsbibliothek-berlin.de/zefys/SNP25128437-18960311-0-1-0-0/left,top,width,height/full/0/default.jpg
1	Redaction	O	O	-	0	221	407	120	164
2	um	O	O	-	0	429	499	117	156
3	Expedition	O	O	-	0	525	729	114	162
4	beſinden	O	O	-	0	756	912	115	162
5	ſch	O	O	-	0	939	1013	115	160
6	:	O	O	-	0	939	1013	115	160
7	Berlin	B-PER	O	-	0	1041	1212	115	156
8	W.	I-PER	O	-	0	1233	1302	115	160
9	,	O	O	-	0	1233	1302	115	160
10	Lützowſtraße	B-LOC	O	-	0	1325	1646	114	161
11	S7	O	O	-	0	1670	1755	113	170
12	,	O	O	-	0	1670	1755	113	170
13	Au	O	O	-	0	1772	1836	113	170
14	Haus	B-PER	O	-	0	1839	1954	113	170
15	von	I-PER	O	-	0	1955	2054	116	170
16	der	I-PER	O	-	0	2080	2142	114	152
17	Potsdamerſtraße	O	O	-	0	2165	2495	114	160
18	,	O	O	-	0	2165	2495	114	160
19	gegenüber	O	O	-	0	2518	2710	114	161
20	Lem	B-PER	O	-	0	2732	2807	117	155
21	Eliſabeth⸗Krankenhauſe	I-PER	O	-	0	2829	3281	117	166
22	.	O	O	-	0	2829	3281	117	166
0		O	O	-	0	383	501	274	302
1	Eeicheim	O	O	-	0	383	501	274	302
2	tagich	O	O	-	0	516	600	272	302
0		O	O	-	0	152	184	312	337
1	mu	O	O	-	0	152	184	312	337
2	Außnahme	O	O	-	0	197	317	304	332
3	der	O	O	-	0	332	367	303	327
4	Tage	O	O	-	0	380	438	301	329
5	nach	O	O	-	0	443	501	301	329
6	den	O	O	-	0	516	557	300	324
7	Sonn⸗	O	O	-	0	570	645	301	325
8	ind	O	O	-	0	659	702	302	325
9	Feiertagen	O	O	-	0	715	846	300	329
10	.	O	O	-	0	715	846	300	329
0		O	O	-	0	74	199	351	383
1	Abonnementspreis	O	O	-	0	74	199	351	383
2	fuͤr	O	O	-	0	355	389	338	365
3	das	O	O	-	0	404	445	338	361
4	Vierteljahr	O	O	-	0	458	589	336	367
5	Mk.	O	O	-	0	598	648	338	367
6	1	O	O	-	0	654	676	336	367
7	.	O	O	-	0	654	676	336	367
8	26	O	O	-	0	678	723	336	362
9	:	O	O	-	0	678	723	336	362
10	durch	O	O	-	0	740	798	337	363
11	Postboten	O	O	-	0	809	924	336	365
12	nder	O	O	-	0	168	213	375	398
13	Zeitungsträger	O	O	-	0	225	313	368	398
14	in'	O	O	-	0	411	454	365	389
15	Haus	O	O	-	0	468	534	365	393
16	gebracht	O	O	-	0	549	641	365	394
17	40	O	O	-	0	655	689	364	389
18	Pf.	O	O	-	0	702	743	364	392
19	mehr	O	O	-	0	757	821	365	392
20	.	O	O	-	0	757	821	365	392
0		O	O	-	0	77	262	405	445
1	Abonnements	O	O	-	0	77	262	405	445
2	werden	O	O	-	0	282	363	402	426
3	von	O	O	-	0	383	426	405	424
4	fammuchen	O	O	-	0	447	585	401	429
5	Poſtanſtalten	O	O	-	0	600	758	400	428
6	.	O	O	-	0	600	758	400	428
7	Briefträgern	O	O	-	0	776	923	399	428
8	—	O	O	-	0	250	293	431	455
9	—	O	O	-	0	305	395	430	458
10	—	O	O	-	0	396	482	428	456
11	—	O	O	-	0	483	538	428	452
12	„	O	O	-	0	539	606	434	452
13	“	O	O	-	0	539	606	434	452
14	)	O	O	-	0	539	606	434	452
15	(	O	O	-	0	539	606	434	452
16	—	O	O	-	0	539	606	434	452
17	.	O	O	-	0	539	606	434	452
18	—	O	O	-	0	608	658	433	457
19	—	O	O	-	0	660	733	433	453
0		O	O	-	0	2911	3052	278	306
1	Jnſerate	O	O	-	0	2911	3052	278	306
0		O	O	-	0	2709	2752	360	384
1	und	O	O	-	0	2709	2752	360	384
2	unſeren	O	O	-	0	2766	2851	359	387
3	Agenten	O	O	-	0	2866	2959	360	389
4	im	O	O	-	0	2974	3003	361	384
5	Kreiſe	O	O	-	0	3017	3087	350	387
6	angenommen	O	O	-	0	3099	3256	366	389
0		O	O	-	0	2791	2874	396	422
1	Preis	O	O	-	0	2791	2874	396	422
2	der	O	O	-	0	2888	2925	398	420
3	emfachen	O	O	-	0	2939	3041	396	424
4	Petitzeile	O	O	-	0	3055	3164	397	426
5	dde	O	O	-	0	2569	2621	423	449
6	derrn	O	O	-	0	2635	2697	424	448
7	Raum	O	O	-	0	2711	2782	423	448
8	im	O	O	-	0	2796	2824	424	447
9	Anzeigentheil	O	O	-	0	2839	2995	424	452
10	20	O	O	-	0	3009	3093	424	452
11	Pf.	O	O	-	0	3009	3093	424	452
12	,	O	O	-	0	3009	3093	424	452
13	in	O	O	-	0	3107	3135	424	450
14	Reklametheil	B-LOC	O	-	0	3149	3300	423	452
15	G	O	O	-	0	3312	3393	423	451
16	.	O	O	-	0	3312	3393	423	451
0		O	O	-	0	2618	2700	304	329
1	—	O	O	-	0	2618	2700	304	329
2	ꝑ1	O	O	-	0	2618	3342	303	333
3	—	O	O	-	0	2714	2736	303	329
4	—	O	O	-	0	2750	2786	304	328
5	—	O	O	-	0	2800	2892	303	332
6	D	O	O	-	0	2895	2969	306	331
7	“	O	O	-	0	2895	2969	306	331
8	—	O	O	-	0	2971	3114	305	333
9	—	O	O	-	0	2971	3114	305	333
10	—	O	O	-	0	3196	3342	303	333
0		O	O	-	0	2547	2610	330	360
1	joom	O	O	-	0	2547	2610	330	360
2	ven	O	O	-	0	2631	2674	336	356
3	faͤmmtlichen	O	O	-	0	2691	2829	331	360
4	Annoncen⸗Bureaus	O	O	-	0	2846	3076	333	361
5	den	O	O	-	0	3096	3144	333	358
6	Zeitungs⸗Expeditionen	O	O	-	0	3151	3268	333	361
0		O	O	-	0	1267	2206	233	465
1	Teltower	O	O	-	0	1267	2206	233	465
2	Kreis-Blatt	O	O	-	0	84	997	581	919
0		O	O	-	0	147	316	1071	1108
1	Redaktion	O	O	-	0	147	316	1071	1108
2	und	O	O	-	0	334	397	1070	1103
3	Expedition	O	O	-	0	419	627	1071	1108
4	:	O	O	-	0	419	627	1071	1108
5	Berlin	B-LOC	O	-	0	180	275	1117	1149
6	W.	O	O	-	0	292	351	1118	1152
7	,	O	O	-	0	292	351	1118	1152
8	Lützowftr.	O	O	-	0	369	515	1117	1153
9	87	O	O	-	0	535	585	1116	1148
10	.	O	O	-	0	535	585	1116	1148
0		O	O	-	0	740	1213	1049	1180
1	Täglich	O	O	-	0	740	1213	1049	1180
2	erſcheinende	O	O	-	0	1297	2108	1058	1181
3	Zeitung	O	O	-	0	2193	2726	1055	1181
4	.	O	O	-	0	2193	2726	1055	1181
0		O	O	-	0	2897	3275	1076	1114
1	Fernſprech⸗Anſchluß	O	O	-	0	2897	3275	1076	1114
2	:	O	O	-	0	2897	3275	1076	1114
3	Amt	O	O	-	0	2946	3009	1124	1154
4	VJ	O	O	-	0	3027	3080	1125	1157
5	.	O	O	-	0	3027	3080	1125	1157
6	Nr.	O	O	-	0	3098	3147	1125	1155
7	671	O	O	-	0	3160	3222	1124	1153
8	.	O	O	-	0	3160	3222	1124	1153
0		O	O	-	0	114	193	1261	1307
1	Nr.	O	O	-	0	114	193	1261	1307
2	G0	O	O	-	0	221	308	1258	1304
3	.	O	O	-	0	221	308	1258	1304
0		O	O	-	0	1139	1370	1260	1310
1	Berlin	B-LOC	O	-	0	1139	1370	1260	1310
2	,	O	O	-	0	1139	1370	1260	1310
3	Mittwoch	O	O	-	0	1398	1648	1260	1312
4	,	O	O	-	0	1398	1648	1260	1312
5	den	O	O	-	0	1676	1759	1261	1305
6	JJ.	O	O	-	0	1787	1856	1260	1303
7	März	O	O	-	0	1887	2028	1261	1315
8	3886	O	O	-	0	2056	2209	1260	1306
9	.	O	O	-	0	2056	2209	1260	1306
0		O	O	-	0	3074	3164	1264	1308
1	40.	O	O	-	0	3074	3164	1264	1308
2	Jahrg	O	O	-	0	3192	3357	1265	1319
0		O	O	-	0	204	662	1361	1423
1	Abonnements	O	O	-	0	204	662	1361	1423
2	pro	O	O	-	0	192	286	1449	1504
3	Monat	O	O	-	0	321	533	1442	1495
4	März	O	O	-	0	566	732	1442	1506
