No.	TOKEN	NE-TAG	NE-EMB	ID	url_id	left	right	top	bottom
# https://content.staatsbibliothek-berlin.de/zefys/SNP27058621-19371228-0-1-0-0/left,top,width,height/full/0/default.jpg
1	Morgen⸗Ausgabe	O	O	-	0	338	715	219	259
2	.	O	O	-	0	338	715	219	259
0		O	O		0	214	411	268	330
1	Deutſches	O	O	-	0	214	411	268	330
2	Nachrichtenbüro	O	O	-	0	420	846	266	327
3	G.	O	O	-	0	216	846	340	350
4	m.	O	O	-	0	216	846	340	350
5	b.	O	O	-	0	216	846	340	350
6	H.	O	O	-	0	216	846	340	350
0		O	O		0	216	846	340	350
1	—	O	O	-	0	216	846	340	350
2	—	O	O	-	0	216	846	340	350
3	—	O	O	-	0	216	846	340	350
4	—	O	O	-	0	216	846	340	350
5	—	O	O	-	0	216	846	340	350
6	—	O	O	-	0	216	846	340	350
7	—	O	O	-	0	216	846	340	350
8	—	O	O	-	0	216	846	340	350
9	—	O	O	-	0	216	846	340	350
10	—	O	O	-	0	216	846	340	350
11	—	O	O	-	0	216	846	340	350
12	—	O	O	-	0	216	846	340	350
13	—	O	O	-	0	216	846	340	350
14	—	O	O	-	0	216	846	340	350
15	—	O	O	-	0	216	846	340	350
16	—	O	O	-	0	216	846	340	350
17	—	O	O	-	0	216	846	340	350
0		O	O		0	216	846	340	350
1	(	O	O		0	214	250	360	381
2	Als	O	O	-	0	214	250	360	381
3	Manuſkript	O	O	-	0	264	369	360	380
4	gedruckt	O	O	-	0	383	460	359	379
5	,	O	O	-	0	383	460	359	379
6	Nachdruck	O	O	-	0	481	568	358	377
7	und	O	O	-	0	589	622	358	374
8	jede	O	O	-	0	637	672	357	377
9	Art	O	O	-	0	686	718	357	374
10	Verbreitung	O	O	-	0	733	847	357	377
11	ohne	O	O	-	0	275	319	380	399
12	Vereinbarung	O	O	-	0	328	458	381	400
13	unterſagt	O	O	-	0	470	563	380	399
14	.	O	O	-	0	470	563	380	399
0		O	O	-	0	588	636	380	398
1	Ohne	O	O	-	0	588	636	380	398
2	alle	O	O	-	0	639	688	379	395
3	Gewähr	O	O	-	0	695	785	379	401
4	.	O	O	-	0	695	785	379	401
5	)	O	O	-	0	695	785	379	401
0		O	O	-	0	243	338	416	456
1	4.	O	O		0	243	338	416	456
2	Jahrg.	O	O	-	0	243	338	416	456
0		O	O	-	0	459	594	430	452
1	Berlin	B-LOC	O	Q64	0	459	594	430	452
2	,	O	O	-	0	459	594	430	452
3	Dienstag	O	O	-	0	373	502	468	493
4	,	O	O	-	0	373	502	468	493
5	28.	O	O	-	0	517	562	467	488
6	Dezember	O	O	-	0	573	702	467	492
0		O	O		0	736	838	413	508
1	Nr.	O	O	-	0	736	838	413	508
2	1937	O	O		0	210	253	548	567
0		O	O		0	210	253	548	567
1	Von	O	O	-	0	210	253	548	567
2	Haſſell	O	O	-	0	267	334	548	571
3	beſucht	O	O	-	0	349	418	547	570
4	Panzerſchiff	O	O	-	0	432	564	542	571
5	„	O	O	-	0	570	721	545	570
6	Deutſchland	B-LOC	O	Q183	0	570	721	545	570
