No.	TOKEN	NE-TAG	NE-EMB	ID	url_id	left	right	top	bottom
# https://content.staatsbibliothek-berlin.de/zefys/SNP27646518-18990407-0-3-0-0/left,top,width,height/full/0/default.jpg
1	ierzu	O	O	-	0	1505	1549	2035	2051
2	z	O	O	-	0	1558	1571	2034	2048
3	Beiblätter	O	O	-	0	1580	1682	2034	2049
4	.	O	O	-	0	1580	1682	2034	2049
5	weſen	O	O	-	0	715	759	2040	2060
6	ſein	O	O	-	0	768	802	2041	2059
7	.	O	O	-	0	768	802	2041	2059
0		O	O	-	0	103	136	407	425
1	und	O	O	-	0	103	136	407	425
2	Agitationen	O	O	-	0	147	251	405	425
3	wuͤrden	O	O	-	0	262	328	403	419
4	nicht	O	O	-	0	339	378	402	420
5	im	O	O	-	0	390	412	400	417
6	Stande	O	O	-	0	423	486	400	417
7	ſein	O	O	-	0	497	533	398	417
8	,	O	O	-	0	497	533	398	417
9	die	O	O	-	0	548	572	397	414
10	Eintracht	O	O	-	0	583	665	398	417
11	lange	O	O	-	0	106	153	429	445
12	zu	O	O	-	0	174	192	430	445
13	ſtören	O	O	-	0	213	268	425	443
14	,	O	O	-	0	213	268	425	443
15	welche	O	O	-	0	289	342	423	441
16	unter	O	O	-	0	363	410	422	437
17	den	O	O	-	0	432	462	421	436
18	Franzoſen	O	O	-	0	479	568	418	438
19	herrſchen	O	O	-	0	589	667	418	437
20	müſie	O	O	-	0	107	159	447	465
21	.	O	O	-	0	107	159	447	465
0		O	O	-	0	185	244	444	461
1	Loubet	B-PER	O	Q169502	0	185	244	444	461
2	ſchloiz	O	O	-	0	262	315	443	462
3	,	O	O	-	0	262	315	443	462
4	indem	O	O	-	0	334	385	442	457
5	er	O	O	-	0	404	420	445	456
6	die	O	O	-	0	436	459	440	456
7	Bevölkerung	O	O	-	0	476	585	438	457
8	beglück⸗wunſchte	O	O	-	0	601	666	438	457
9	zu	O	O	-	0	205	224	468	483
10	ihrer	O	O	-	0	244	286	463	482
11	Anhänglichkeit	O	O	-	0	307	433	460	481
12	an	O	O	-	0	455	476	463	474
13	die	O	O	-	0	502	525	459	474
14	natronale	O	O	-	0	546	668	458	474
15	Armee	O	O	-	0	106	194	488	500
16	,	O	O	-	0	106	194	488	500
17	mit	O	O	-	0	210	239	483	499
18	welcher	O	O	-	0	255	317	482	500
19	das	O	O	-	0	328	358	482	497
20	Land	O	O	-	0	369	413	482	497
21	in	O	O	-	0	425	440	484	494
22	leidenichaltich	O	O	-	0	451	575	482	496
23	und	O	O	-	0	591	624	482	494
24	ut	O	O	-	0	639	661	482	494
25	ſo	O	O	-	0	106	122	507	526
26	gutem	O	O	-	0	133	187	506	525
27	Grunde	O	O	-	0	197	264	503	520
28	verkuüpft	O	O	-	0	275	356	501	519
29	lei	O	O	-	0	367	390	501	519
30	.	O	O	-	0	367	390	501	519
0		O	O		0	429	437	521	529
1	u	O	O	-	0	429	437	521	529
2	—	O	O	-	0	429	437	521	529
3	A	O	O	-	0	133	160	546	563
0		O	O		0	183	249	544	561
1	Paris	O	O	-	0	183	249	544	561
2	,	O	O	-	0	183	249	544	561
3	6.	O	O	-	0	270	283	542	557
4	April	O	O	-	0	305	352	541	557
5	.	O	O	-	0	305	352	541	557
0		O	O		0	379	553	538	557
1	Privat⸗Telegramm	O	O	-	0	379	553	538	557
2	)	O	O	-	0	379	553	538	557
0		O	O		0	578	605	538	553
1	Die	O	O	-	0	578	605	538	553
2	antireviſioniſtiſchen	O	O	-	0	633	670	538	553
3	Abendblätter	O	O	-	0	254	353	562	577
4	veriuchen	O	O	-	0	377	457	560	577
5	.	O	O	-	0	377	457	560	577
6	der	O	O	-	0	485	508	560	574
7	Ausſage	O	O	-	0	531	606	557	575
8	Bertulus	O	O	-	0	630	670	559	573
9	,	O	O	-	0	108	164	586	601
10	die	O	O	-	0	185	207	584	599
11	ſie	O	O	-	0	230	247	583	599
12	naturlich	O	O	-	0	268	337	582	598
13	nicht	O	O	-	0	360	395	581	598
14	abdrucken	O	O	-	0	413	495	579	595
15	,	O	O	-	0	413	495	579	595
16	jeden	O	O	-	0	519	556	579	596
17	Werth	O	O	-	0	576	624	578	595
18	ab⸗zuſprechen	O	O	-	0	647	692	577	592
19	.	O	O	-	0	108	196	605	623
20	indem	O	O	-	0	233	278	603	618
21	ſie	O	O	-	0	315	331	603	618
22	ſchreiben	O	O	-	0	367	443	600	618
23	,	O	O	-	0	367	443	600	618
24	das	O	O	-	0	479	506	599	613
25	von	O	O	-	0	540	568	601	613
26	Bertulus	B-PER	O	-	0	600	671	598	613
27	geſchilderte	O	O	-	0	109	193	624	644
28	Geſpräch	O	O	-	0	209	276	623	639
29	mit	O	O	-	0	292	316	623	636
30	Henry	B-PER	O	-	0	333	380	622	639
31	habe	O	O	-	0	396	430	620	637
32	ohne	O	O	-	0	445	479	619	636
33	Zeugen	O	O	-	0	492	546	619	636
34	ſtattgefunden	O	O	-	0	561	671	618	636
35	;	O	O	-	0	561	671	618	636
36	Henry	B-PER	O	-	0	109	156	646	663
37	ſei	B-PER	O	-	0	166	184	644	660
38	todt	O	O	-	0	194	228	644	659
39	,	O	O	-	0	194	228	644	659
40	und	O	O	-	0	237	265	644	657
41	Bertulus	B-PER	O	-	0	275	344	642	657
42	liige	O	O	-	0	354	389	642	658
43	.	O	O	-	0	354	389	642	658
0		O	O	-	0	402	438	640	654
1	Tem	O	O	-	0	402	438	640	654
2	Courrier	B-ORG	O	-	0	449	526	639	656
3	du	I-ORG	O	-	0	535	553	638	653
4	Soix	I-ORG	O	-	0	563	606	638	652
5	“	O	O	-	0	563	606	638	652
6	zufolge	O	O	-	0	617	671	637	655
7	werden	O	O	-	0	109	167	665	680
8	Déorouléde	B-PER	O	-	0	176	294	663	678
9	und	O	O	-	0	309	364	661	676
10	Marcel	B-PER	O	-	0	366	430	660	674
11	Habert	I-PER	O	-	0	440	514	659	676
12	vor	O	O	-	0	530	555	661	673
13	den	O	O	-	0	570	595	658	672
14	in	O	O	-	0	611	627	658	672
15	eint	O	O	-	0	642	671	657	672
16	haute	O	O	-	0	109	154	685	700
17	cour	O	O	-	0	164	200	688	698
18	verwandelten	O	O	-	0	209	313	683	697
19	Senat	O	O	-	0	323	375	681	696
20	geſtellt	O	O	-	0	382	449	679	697
21	werden	O	O	-	0	459	517	679	693
22	.	O	O	-	0	459	517	679	693
0		O	O		0	135	219	717	732
1	Kleine	B-PER	O	-	0	135	219	717	732
2	potitiſche	O	O	-	0	234	317	716	732
3	Nachrichten	O	O	-	0	332	442	712	730
4	.	O	O	-	0	332	442	712	730
0		O	O	-	0	465	496	712	726
1	Der	O	O	-	0	465	496	712	726
2	Generalkapitän	O	O	-	0	510	630	711	727
3	von	O	O	-	0	645	672	712	724
4	Aragonien	B-LOC	O	-	0	110	191	735	752
5	iſt	O	O	-	0	202	218	735	750
6	in	O	O	-	0	228	242	738	747
7	Madrid	B-LOC	O	Q2807	0	252	322	733	748
8	eingetroffen	O	O	-	0	332	427	731	748
9	.	O	O	-	0	332	427	731	748
10	um	O	O	-	0	441	465	734	744
11	mit	O	O	-	0	476	500	732	743
12	der	O	O	-	0	515	538	731	744
13	Regierung	O	O	-	0	548	629	730	747
14	uhber	O	O	-	0	639	672	728	742
15	die	O	O	-	0	110	131	754	768
16	carliſtiſche	O	O	-	0	144	264	752	768
17	Bewegung	O	O	-	0	279	390	752	767
18	zu	O	O	-	0	404	421	752	765
19	berathen	O	O	-	0	435	505	748	764
20	.	O	O	-	0	435	505	748	764
0		O	O	-	0	528	557	747	761
1	Der	O	O	-	0	528	557	747	761
2	„	O	O	-	0	574	671	745	763
3	Imparcial	B-ORG	O	-	0	574	671	745	763
4	“	O	O	-	0	574	671	745	763
5	meldet	O	O	-	0	112	165	771	785
6	,	O	O	-	0	112	165	771	785
7	daß	O	O	-	0	174	202	769	785
8	auch	O	O	-	0	212	243	769	785
9	die	O	O	-	0	254	275	769	782
10	Carliſten	B-ORG	O	Q679189	0	285	354	768	782
11	in	O	O	-	0	370	385	767	780
12	Navarra	B-LOC	O	Q976624	0	399	466	767	779
13	tebnafte	O	O	-	0	481	539	765	782
14	Thatigteit	O	O	-	0	553	630	764	780
15	ent⸗wickeln	O	O	-	0	645	673	763	776
16	.	O	O	-	0	111	168	788	802
0		O	O	-	0	179	195	794	797
1	—	O	O	-	0	179	195	794	797
0		O	O		0	204	235	787	800
1	Aus	O	O	-	0	204	235	787	800
